变量1,变量2,N,相关系数,P值,检验方法,选择依据,相关强度,统计显著
基线AST,ALT变化,209,-0.2097103612555437,0.00040141636961320065,Spearman,存在非正态分布变量,弱相关,是
基线AST,AST变化,209,-0.35379865608005157,1.0420727974411134e-09,Spearman,存在非正态分布变量,弱相关,是
基线AST,肝硬度变化,162,-0.067517953384905,0.3233109154848133,Spearman,存在非正态分布变量,极弱/无相关,否
基线GGT,基线ALP,216,0.3506502362262726,8.165889909100889e-10,Spearman,存在非正态分布变量,弱相关,是
基线GGT,基线白蛋白,216,-0.19123671057291633,0.0010647420019018888,Spearman,存在非正态分布变量,极弱/无相关,是
基线GGT,基线胆红素,216,0.15941837693338695,0.006518487443350853,Spearman,存在非正态分布变量,极弱/无相关,是
基线GGT,肝硬度值基线,204,0.38244485833466796,6.654241926454078e-11,Spearman,存在非正态分布变量,弱相关,是
基线GGT,血小板基线,183,-0.2859445895584438,5.915710558980485e-06,Spearman,存在非正态分布变量,弱相关,是
基线GGT,ALT变化,209,0.12310860842593954,0.03917646069666586,Spearman,存在非正态分布变量,极弱/无相关,是
基线GGT,AST变化,209,0.10590790767225167,0.0763258073899489,Spearman,存在非正态分布变量,极弱/无相关,否
基线GGT,肝硬度变化,162,-0.15477490886457695,0.022891173394157277,Spearman,存在非正态分布变量,极弱/无相关,是
基线ALP,基线白蛋白,216,-0.219354565986377,0.00016634957915508792,Pearson,两变量均正态分布,弱相关,是
基线ALP,基线胆红素,216,0.18740672883719867,0.0013455154756380169,Pearson,两变量均正态分布,极弱/无相关,是
基线ALP,肝硬度值基线,204,0.23936196444374364,6.674572910155581e-05,Spearman,存在非正态分布变量,弱相关,是
基线ALP,血小板基线,183,-0.2213392837407865,0.0005094133879883218,Spearman,存在非正态分布变量,弱相关,是
基线ALP,ALT变化,209,0.09455544839939864,0.11375962640206591,Spearman,存在非正态分布变量,极弱/无相关,否
基线ALP,AST变化,209,0.023325114032836446,0.6970466622407796,Spearman,存在非正态分布变量,极弱/无相关,否
基线ALP,肝硬度变化,162,-0.13631725886586835,0.04537380146515261,Spearman,存在非正态分布变量,极弱/无相关,是
基线白蛋白,基线胆红素,216,-0.15950133478587433,0.006490268267640852,Pearson,两变量均正态分布,极弱/无相关,是
基线白蛋白,肝硬度值基线,204,-0.12319800885597465,0.042334523979239744,Spearman,存在非正态分布变量,极弱/无相关,是
基线白蛋白,血小板基线,183,0.22306497996160282,0.00045908824953216096,Pearson,两变量均正态分布,弱相关,是
基线白蛋白,ALT变化,209,-0.13711532644828583,0.021499522827562633,Spearman,存在非正态分布变量,极弱/无相关,是
基线白蛋白,AST变化,209,-0.19191781832115953,0.0012254366598061376,Spearman,存在非正态分布变量,极弱/无相关,是
基线白蛋白,肝硬度变化,162,0.09019309430985487,0.18664683708948426,Spearman,存在非正态分布变量,极弱/无相关,否
基线胆红素,肝硬度值基线,204,0.12982672694846753,0.032325445358501174,Spearman,存在非正态分布变量,极弱/无相关,是
基线胆红素,血小板基线,183,-0.35005229800563104,2.058104366260762e-08,Pearson,两变量均正态分布,弱相关,是
基线胆红素,ALT变化,209,0.08088293324091189,0.17636973664534353,Spearman,存在非正态分布变量,极弱/无相关,否
基线胆红素,AST变化,209,0.06048795163750873,0.3123187692791611,Spearman,存在非正态分布变量,极弱/无相关,否
基线胆红素,肝硬度变化,162,-0.10267035304733173,0.13253967543899173,Spearman,存在非正态分布变量,极弱/无相关,否
肝硬度值基线,血小板基线,177,-0.4134376873562724,5.413610779728107e-11,Spearman,存在非正态分布变量,中等相关,是
肝硬度值基线,ALT变化,197,-0.016218586769359764,0.7934866995014124,Spearman,存在非正态分布变量,极弱/无相关,否
肝硬度值基线,AST变化,197,-8.099482223641818e-05,0.9989569588107048,Spearman,存在非正态分布变量,极弱/无相关,否
肝硬度值基线,肝硬度变化,162,-0.5545315895210504,8.174186390410544e-19,Spearman,存在非正态分布变量,中等相关,是
血小板基线,ALT变化,176,0.10566764652531867,0.10690426602103122,Spearman,存在非正态分布变量,极弱/无相关,否
血小板基线,AST变化,176,0.07086490310661996,0.2803304129249515,Spearman,存在非正态分布变量,极弱/无相关,否
血小板基线,肝硬度变化,145,0.28061098832866493,8.799382165073642e-05,Spearman,存在非正态分布变量,弱相关,是
ALT变化,AST变化,209,0.7301753151118214,4.6072668849174424e-48,Spearman,存在非正态分布变量,强相关,是
ALT变化,肝硬度变化,159,-0.024444321286885673,0.7228092261867852,Spearman,存在非正态分布变量,极弱/无相关,否
AST变化,肝硬度变化,159,-0.043263253505438866,0.5300137416471757,Spearman,存在非正态分布变量,极弱/无相关,否
